,delta,dominant_frequency,sum_top_amplitudes,energy_ratio,top_freq_1,top_amp_1,top_phase_1,top_freq_2,top_amp_2,top_phase_2,top_freq_3,top_amp_3,top_phase_3,top_freq_4,top_amp_4,top_phase_4,top_freq_5,top_amp_5,top_phase_5,top_freq_6,top_amp_6,top_phase_6,top_freq_7,top_amp_7,top_phase_7,top_freq_8,top_amp_8,top_phase_8,predicted_next_value
0,0.9632342808599854,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.9503262811615761,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.9749289733353941,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.0097718484145397,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.0203390576908582,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.0265552798236455,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.9954833469708451,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.0130331672270836,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.095957284345048,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.0908165950773847,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.0544222454672245,0.0,11.26284171097327,0.9999812272935088,0.0,10.14044611490636,-0.0,-0.2,0.2365802744612664,-1.8641256027789233,0.2,0.2365802744612664,1.8641256027789233,-0.1,0.1882653382866073,-1.7199603160864791,0.1,0.1882653382866073,1.7199603160864791,-0.30000000000000004,0.11607207103453213,-2.817896059709235,0.30000000000000004,0.11607207103453213,2.817896059709235,-0.5,0.04056022850209828,-3.141592653589793,0.9687031056546259
11,1.025793553290075,0.0,11.261803797663061,0.9999672279960271,0.0,10.2316340795136,-0.0,-0.2,0.22761818890680807,-2.7271727389605362,0.2,0.22761818890680807,2.7271727389605362,-0.1,0.19661255885333825,-1.8718089960556163,0.1,0.19661255885333825,1.8718089960556163,-0.4,0.06554024326201326,-2.285257415893513,0.4,0.06554024326201326,2.285257415893513,-0.5,0.05062773610514082,-3.141592653589793,0.9561834074490377
12,1.0236184145300518,0.0,11.180257030727205,0.9999660563639221,0.0,10.3071013516421,-0.0,-0.1,0.18855597355633183,-2.107906173586537,0.1,0.18855597355633183,2.107906173586537,-0.2,0.16142517883242546,2.488750997470326,0.2,0.16142517883242546,-2.488750997470326,-0.4,0.059239375053673465,2.7803267652055945,0.4,0.059239375053673465,-2.7803267652055945,-0.30000000000000004,0.05471462420024438,-1.3189423342155813,0.9760494391074426
13,1.0274610890107578,0.0,11.133586028567724,0.9999909886459881,0.0,10.355790792836757,-0.0,-0.1,0.16890627941758513,-2.485946984055004,0.1,0.16890627941758513,2.485946984055004,-0.2,0.1262611232205923,0.9956706052570288,0.2,0.1262611232205923,-0.9956706052570288,-0.30000000000000004,0.08180526264165601,-2.589569058797207,0.30000000000000004,0.08180526264165601,2.589569058797207,-0.5,0.023849905171299035,-3.141592653589793,1.006222063738031
14,0.9576663134567555,0.0,11.129895137356733,0.999986421815607,0.0,10.373480033432973,-0.0,-0.1,0.15525983637332202,-3.0447477853896068,0.1,0.15525983637332202,3.0447477853896068,-0.2,0.136691338124922,-0.36977213117490804,0.2,0.136691338124922,0.36977213117490804,-0.30000000000000004,0.06738505804762114,1.9467623493713284,0.30000000000000004,0.06738505804762114,-1.9467623493713284,-0.4,0.037742638832030544,-2.8645268966751893,1.0233533129749037
15,0.9466406350883373,0.0,11.24187329150753,0.9999076668062337,0.0,10.31080728919887,-0.0,-0.1,0.2177232618940733,2.5822816659588326,0.1,0.2177232618940733,-2.5822816659588326,-0.30000000000000004,0.10756346469980126,0.6345761903900943,0.30000000000000004,0.10756346469980126,-0.6345761903900943,-0.4,0.09951293471582483,0.7322499753097303,0.4,0.09951293471582483,-0.7322499753097303,-0.2,0.0814666796892588,-1.9081510029308997,1.0236005540819744
16,0.9564614934114202,0.0,11.269088323897922,0.999955582235461,0.0,10.230892644463562,-0.0,-0.1,0.2885927081801339,2.1014268901751785,0.1,0.2885927081801339,-2.1014268901751785,-0.2,0.13165461906994883,2.5084946123250056,0.2,0.13165461906994883,-2.5084946123250056,-0.4,0.06679078911711175,-0.8538818672638312,0.4,0.06679078911711175,0.8538818672638312,-0.30000000000000004,0.06411944669996919,-0.4189791039320268,0.9872857485795509
17,0.9567330826246875,0.0,11.275461431188056,0.9999874512254454,0.0,10.191870790904138,-0.0,-0.1,0.31017214034087814,1.581829538267056,0.1,0.31017214034087814,-1.581829538267056,-0.2,0.1647397438747471,1.3924632151135903,0.2,0.1647397438747471,-1.3924632151135903,-0.4,0.05058372921359086,2.2954175511347494,0.4,0.05058372921359086,-2.2954175511347494,-0.30000000000000004,0.032599413425484405,-2.8125607021961927,1.0145563020900743
18,0.9763065500665044,0.0,11.378778063252502,0.9999091323305044,0.0,10.135570706301742,-0.0,-0.1,0.3158508953088085,1.1327065776808014,0.1,0.3158508953088085,-1.1327065776808014,-0.2,0.16437262270249528,0.4796429351195847,0.2,0.16437262270249528,-0.4796429351195847,-0.4,0.09748765472298529,0.2293082322960688,0.4,0.09748765472298529,-0.2293082322960688,-0.30000000000000004,0.08778501148218322,1.376921795237359,1.0901979187371118
19,1.0018248959069387,0.0,11.096279200401701,0.999978081082284,0.0,10.015919972023198,-0.0,-0.1,0.2863821665157546,0.8923961480778804,0.1,0.2863821665157546,-0.8923961480778804,-0.30000000000000004,0.13407175029948673,0.5588878468973305,0.30000000000000004,0.13407175029948673,-0.5588878468973305,-0.2,0.08024072829436826,-0.018115231473609238,0.2,0.08024072829436826,0.018115231473609238,-0.5,0.0789699381592861,-0.0,1.0842126505508471
20,1.0242029098795684,0.0,10.681051336797003,0.9999984003929584,0.0,9.926928272852752,-0.0,-0.1,0.24072252937250146,0.5560368596095164,0.1,0.24072252937250146,-0.5560368596095164,-0.30000000000000004,0.07525296253025969,-0.648308908849856,0.30000000000000004,0.07525296253025969,0.648308908849856,-0.4,0.05607515956378374,0.6889922316079011,0.4,0.05607515956378374,-0.6889922316079011,-0.5,0.010021761011159924,-0.0,1.055240370993744
21,1.0348346647354274,0.0,10.547786650994778,0.9999831992547324,0.0,9.896708937265096,-0.0,-0.1,0.21564633373378161,0.0017519455594009446,0.1,0.21564633373378161,-0.0017519455594009446,-0.30000000000000004,0.054321519115910835,-2.8758450979600307,0.30000000000000004,0.054321519115910835,2.8758450979600307,-0.4,0.0379687094783734,-1.2937389178722456,0.4,0.0379687094783734,1.2937389178722456,-0.2,0.03520458907355152,1.659032775761852,1.024084025701244
22,1.0346858928571427,0.0,10.564743255461766,0.9999784202047493,0.0,9.905750048710448,-0.0,-0.1,0.2246874318624462,-0.6266370809883778,0.1,0.2246874318624462,0.6266370809883778,-0.30000000000000004,0.04565956553775796,1.5744119316856566,0.30000000000000004,0.04565956553775796,-1.5744119316856566,-0.4,0.04136612816843191,2.6879805692655943,0.4,0.04136612816843191,-2.6879805692655943,-0.2,0.03556695561404624,0.14639789067305214,1.0230236337050016
23,1.026303759529768,0.0,10.60306588277345,0.9999863827967024,0.0,9.91681752703754,-0.0,-0.1,0.23374225896941034,-1.2271854073696251,0.1,0.23374225896941034,1.2271854073696251,-0.30000000000000004,0.046942846282799454,-0.5485477185506916,0.30000000000000004,0.046942846282799454,0.5485477185506916,-0.2,0.04654405368791196,-1.1449331399459959,0.2,0.04654405368791196,1.1449331399459959,-0.4,0.031790037855665,0.021546812233445022,1.0224657023774486
24,0.9992148807051332,0.0,10.597077582688954,0.9999875268827735,0.0,9.915660197556551,-0.0,-0.1,0.23335491145552506,-1.860173567540069,0.1,0.23335491145552506,1.860173567540069,-0.2,0.046078008135478576,-2.4244455741313007,0.2,0.046078008135478576,2.4244455741313007,-0.30000000000000004,0.045959279391976256,-2.4466346120996123,0.30000000000000004,0.045959279391976256,2.4466346120996123,-0.4,0.030632987166442468,-2.4909133242603376,0.961805083807914
25,1.0345097434634634,0.0,10.554849819527115,0.9999874943802377,0.0,9.957208764804928,-0.0,-0.1,0.22504985177306788,-2.310612278974774,0.1,0.22504985177306788,2.310612278974774,-0.2,0.031042683632713435,-2.60591853055779,0.2,0.031042683632713435,2.60591853055779,-0.30000000000000004,0.030086114086900508,3.0366310605955764,0.30000000000000004,0.030086114086900508,-3.0366310605955764,-0.4,0.025283755736824075,2.9458955461683463,0.951574218830348
26,1.0731886047050903,0.0,10.717440160326282,0.9999333033401735,0.0,10.045077873180054,-0.0,-0.1,0.17806122415307313,-2.5658581543578185,0.1,0.17806122415307313,2.5658581543578185,-0.5,0.06333441934051542,-3.141592653589793,0.4,0.06325929908063772,2.435476882704083,-0.4,0.06325929908063772,-2.435476882704083,-0.2,0.0631934106691459,-1.5100770377732708,0.2,0.0631934106691459,1.5100770377732708,0.959443348642934
