,raw predicted,after vertical,after swing,after horizontal,after correction LSTM,date,actual
64,59.17689,59.23552016,59.18274026,58.88856089,58.62895822,6/1/2020,59.15199975
65,59.812183,58.95032502,59.81815734,58.87755421,59.51280236,6/2/2020,59.325333
66,60.405457,62.92379894,60.41155261,60.83217626,61.16988301,6/3/2020,61.595333
67,61.046837,65.81484608,61.05306117,63.66289686,62.73993367,6/4/2020,63.328
68,61.828053,65.60314579,61.83442082,63.55814692,63.84606099,6/5/2020,63.629333
69,62.795147,67.10729444,62.80181087,64.96111345,64.84301377,6/8/2020,64.856
70,63.828693,68.09155946,63.83553342,66.49485192,65.50531889,6/9/2020,65.86533
71,64.720055,67.11707698,64.72705752,66.05149644,65.85521589,6/10/2020,65.847336
72,65.275734,66.97625588,65.28286488,65.87860733,66.04680893,6/11/2020,66.06
73,65.42946,67.30123265,65.43667443,66.37697045,66.34062265,6/12/2020,66.298
74,65.5289,67.94173296,65.53633148,66.70723045,66.47225028,6/15/2020,66.66333
75,65.63266,67.96328921,65.64017131,66.81723605,66.54416845,6/16/2020,66.72667
76,65.692276,67.89889314,65.69986257,66.64334256,66.49484535,6/17/2020,66.725334
77,65.81406,66.88776178,65.82172551,66.32655874,66.23910764,6/18/2020,66.288
78,66.07911,66.57793316,66.08687795,66.20926306,65.74880993,6/19/2020,66.267334
79,66.52939,65.06323496,66.53741781,65.62109092,65.34330129,6/22/2020,65.732
80,67.290695,64.32712902,67.29888647,65.3109974,65.31674177,6/23/2020,65.732
81,68.38692,64.45938282,68.395313,66.65060445,66.37752437,6/24/2020,66.333336
82,70.02168,69.36513008,70.03035219,69.42344372,69.17472145,6/25/2020,69.628835
83,72.37658,75.06487956,72.3856156,73.82214435,73.62300237,6/26/2020,73.641
84,75.87026,86.05637575,75.8799715,80.97169701,80.22520517,6/29/2020,80.729
85,80.482605,95.13527953,80.49298834,88.18915822,87.22081438,6/30/2020,87.42267
86,85.715614,97.72267571,85.726762,91.05339725,91.51763062,7/1/2020,91.43867
87,90.87706,94.64567774,90.88897345,92.66618543,92.83287921,7/2/2020,92.65733
88,95.63106,91.91081922,95.64399252,93.6844851,93.25053485,7/6/2020,93.666664
89,99.42928,91.70181509,99.44283513,95.62295432,96.04592536,7/7/2020,95.4
90,101.93237,100.4980136,101.9463723,99.03334586,100.2808463,7/8/2020,101.12
91,103.22179,100.1147356,103.2360702,102.1393532,101.6393438,7/9/2020,101.5633325
92,103.41526,99.05695717,103.4296784,100.7045021,101.3355457,7/10/2020,101.12
93,102.26362,100.4646068,102.2781953,100.98569,100.8508119,7/13/2020,101.267334
94,100.71417,103.723098,100.7286331,102.0303321,101.8674638,7/14/2020,102.114
95,99.66026,108.4490815,99.67467617,103.5202131,103.4746225,7/15/2020,103.86667
96,99.422935,111.0935591,99.43741773,105.0703882,104.4542219,7/16/2020,105.000166
97,99.90321,110.5594843,99.91786967,104.9981352,104.5715871,7/17/2020,105.000166
98,100.92099,107.094312,100.9361105,103.9079209,102.8423508,7/20/2020,103.86667
99,101.750404,99.1045447,101.765755,100.7024387,100.1399259,7/21/2020,100.326835
100,102.0033,98.099268,102.0187985,98.98937314,99.25339315,7/22/2020,99.94067
101,101.60742,96.96067947,101.6229625,99.56349614,99.17148618,7/23/2020,99.166
102,101.074234,97.79253562,101.0897982,99.10572154,99.22635226,7/24/2020,99.328834
103,100.8547,97.75133584,100.8705434,99.00311555,99.21242068,7/27/2020,99.2
104,100.8547,97.75133584,100.8706484,98.87069801,99.27794439,7/28/2020,99.2
105,100.87095,97.60426035,100.8870065,99.19188694,99.38143002,7/29/2020,99.13333
106,100.92931,97.54781828,100.9454857,99.10809671,99.48601583,7/30/2020,99.13333
107,101.00755,97.47225871,101.0238428,99.12626789,99.21338543,7/31/2020,99.13333
108,101.338394,97.0939526,101.3550536,99.05836104,98.61754184,8/3/2020,99.10266975
109,102.00229,93.91105535,102.0191636,97.71214153,97.62702056,8/4/2020,97.783499
110,102.97917,91.85032158,102.9963153,96.67819703,96.53970139,8/5/2020,97.166664
111,104.171745,90.79880551,104.1891958,97.48647927,97.50205199,8/6/2020,97.166664
112,105.53104,96.35425471,105.5488244,100.5361391,101.6884307,8/7/2020,100.7459983
113,107.08083,108.1334184,107.0992169,107.3554377,106.9706383,8/10/2020,107.507334
114,109.14981,111.4352818,109.1686631,111.0119631,112.2927194,8/11/2020,110.1856673
115,112.14342,122.6857632,112.1629034,114.0534373,118.2111317,8/12/2020,117.1888337
116,116.05322,132.3145607,116.0735088,124.6514672,123.2436003,8/13/2020,123.804
117,120.86894,131.1847879,120.890196,125.7702563,126.4795068,8/14/2020,125.806
118,126.626015,130.6434972,126.6486761,128.9337772,129.2687459,8/17/2020,128.50133
119,132.53136,134.632143,132.555213,134.8164026,133.1950442,8/18/2020,133.45534
120,137.90048,132.7888762,137.9254483,135.9535298,135.3617961,8/19/2020,135.19667
121,142.33096,131.9587936,142.3568795,136.6248053,137.6429988,8/20/2020,136.9213325
122,145.2205,138.9748882,145.2470984,141.9418751,142.1014921,8/21/2020,141.93333
123,146.03464,145.7686072,146.0618361,145.5951642,145.8625218,8/24/2020,145.768
124,145.76205,153.101586,145.7893541,148.623957,149.3863431,8/25/2020,149.25
125,145.24239,161.4843327,145.2697393,152.787285,152.3901594,8/26/2020,153.008
126,144.69168,157.6144732,144.7190812,151.2561907,151.6253108,8/27/2020,150.8766675
127,143.98134,152.8288224,144.0087541,147.769409,146.5023044,8/28/2020,148.20334
128,143.33119,131.8325058,143.3589313,136.6673583,138.8647119,8/31/2020,137.3358325
129,141.8253,127.3502352,141.8528976,131.0629816,131.9722099,9/1/2020,134.27
130,139.37985,110.5313773,139.407117,128.8830333,124.9890736,9/2/2020,124.00667
131,136.49232,112.4574461,136.5191667,121.8656846,122.6698877,9/3/2020,123.78
132,133.86119,114.6678748,133.8876546,124.7716156,123.4371622,9/4/2020,123.78
133,131.4571,122.8866888,131.4836433,126.011282,127.0129827,9/8/2020,126.98333
134,129.7617,136.5621944,129.7880321,134.7413701,133.4637625,9/9/2020,132.99667
135,128.98805,153.1054101,129.0143582,139.9136505,141.0565173,9/10/2020,140.4016675
136,129.48932,163.8350872,129.5158617,145.5063136,145.6691233,9/11/2020,145.52
137,131.5518,165.1311227,131.5791799,147.1831171,146.5605045,9/14/2020,147.25333
138,134.73622,158.343519,134.7644006,145.5330871,144.630872,9/15/2020,145.93
139,138.28265,146.9758497,138.3117187,143.3593416,142.499434,9/16/2020,142.4325
140,141.54521,141.5339257,141.5751097,140.7582759,140.1574529,9/17/2020,141.41
141,143.98038,128.111427,144.0109393,136.192925,136.3649385,9/18/2020,135.69
142,145.20128,127.2027963,145.2325533,136.4286927,135.3677135,9/21/2020,135.78
143,145.02301,127.3591594,145.0543974,137.9582472,136.5113421,9/22/2020,135.78
144,143.81308,133.9495554,143.8443548,136.8509162,138.5977859,9/23/2020,138.66667
145,142.64658,138.521052,142.6777457,140.8798323,139.784249,9/24/2020,140.44
146,141.99117,140.0420685,142.0223395,140.8060515,140.5737167,9/25/2020,140.8841625
147,141.86292,142.063734,141.8945042,141.9440134,141.1446474,9/28/2020,141.8333325
148,142.3022,141.6251849,142.3340354,142.3845699,141.2927799,9/29/2020,141.8333325
149,143.30037,139.5105729,143.3325767,141.0980975,140.9568765,9/30/2020,141.26334
150,144.59946,138.2572041,144.6321067,141.2314665,140.9578502,10/1/2020,141.26334
151,145.61049,138.5245643,145.6435187,141.9322981,141.8181185,10/2/2020,141.89333
152,146.0297,140.8791419,146.0632744,143.3526305,143.3083321,10/5/2020,143.3
153,145.76817,144.2280421,145.8018456,145.0927324,145.3059067,10/6/2020,144.86333
154,145.2205,149.7509404,145.2542018,146.7835215,147.3306253,10/7/2020,147.33333
155,144.68071,151.585913,144.7144322,148.2527534,148.5714789,10/8/2020,147.9575025
156,144.66043,153.9919894,144.6942991,148.9124168,149.33679,10/9/2020,149.11667
157,145.39081,153.134504,145.4253013,148.8523774,149.3800349,10/12/2020,149.0758375
